iteration,best_accuracy
1,0.8111111111111112
2,0.8185185185185184
3,0.8185185185185184
4,0.8185185185185184
5,0.8185185185185184
6,0.8185185185185184
7,0.8222222222222223
8,0.8222222222222223
9,0.825925925925926
10,0.825925925925926
11,0.825925925925926
12,0.825925925925926
13,0.825925925925926
14,0.825925925925926
15,0.825925925925926
16,0.825925925925926
17,0.825925925925926
18,0.825925925925926
19,0.825925925925926
20,0.825925925925926
21,0.825925925925926
22,0.825925925925926
23,0.825925925925926
24,0.825925925925926
25,0.825925925925926
