iteration,best_accuracy
1,0.7888888888888889
2,0.8074074074074075
3,0.8074074074074075
4,0.8074074074074075
5,0.825925925925926
6,0.825925925925926
7,0.825925925925926
8,0.825925925925926
9,0.825925925925926
10,0.825925925925926
11,0.825925925925926
12,0.825925925925926
13,0.825925925925926
14,0.825925925925926
15,0.825925925925926
16,0.825925925925926
17,0.825925925925926
18,0.825925925925926
19,0.825925925925926
20,0.825925925925926
21,0.825925925925926
22,0.825925925925926
23,0.825925925925926
24,0.825925925925926
25,0.825925925925926
